Time PLC_Stem PLC_Leaf Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_AllSoil transpiration_mm Emin_mm Emin_S_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-02/13:00:00 0.048163206472406 0.0482245591437206 -0.033237864887005 -0.033237672319243 -0.0332382498367889 -0.0344003306373669 -0.0330860687043039 7.18420716394692e-05 0 7.18420716394692e-05 4.5 57.7995476040875 99.8101187487631 99.9517754408563 99.8667814256004 99.8667814256004 24.5733321256232 70.7902703795876 88.4885089086376 0.0004148009438813 0.0175962670879049 0.0160423236209646 0.244602606978546 -2.18917422870676 0.10313968329385 156.273887791849 0.3 96.9151449387714 0 
1990-01-02/14:00:00 0.048163206472406 0.0482245591437206 -0.0332330078073655 -0.0332329200697708 -0.0332331831979281 -0.0343256353131584 -0.033090623100248 0.000116653737766128 3.01601137605702e-06 7.23184677409744e-05 4.5 57.795982266669 99.8101476852429 99.9517754408563 99.8667987874883 99.8667987874883 24.5729305677118 70.7902156060248 88.4884624115523 0.000417802133221247 0.0158626866002069 0.0161487027976463 0.219690051244706 -2.1000314908531 0.092634999226219 140.357532739673 0.3 96.9151449000137 0 
1990-01-02/15:00:00 0.048163206472406 0.0482245591437206 -0.0333286901357264 -0.0332943395488147 -0.0333973581787037 -0.034296139232784 -0.033095341615676 0.00126732968658853 8.77459510937224e-05 7.18764769727981e-05 4.5 57.7992901072353 99.8092100538151 99.9517754408563 99.8662362086316 99.8662362086316 24.5725254116594 70.7901467361771 88.4884044201349 0.000417851478344534 0.01295665779797 0.0160500063266405 0.180059898104647 -2.18271883447603 0.0759244600613157 115.038268233525 0.3 96.9151449359647 0 
1990-01-02/16:00:00 0.048163206472406 0.0482245591437206 -0.0360539909993644 -0.0350609717566038 -0.0380390717267292 -0.0348255079800687 -0.0331055586715669 0.00132827014866011 0.000107324350085538 7.05957669139667e-05 4.5 57.8088760681102 99.7827014779566 99.9517754408563 99.8503310631165 99.8503310631165 24.5719597059303 70.789666869087 88.4880132074934 0.000414939406631612 0.00914737068627051 0.015764023966172 0.12841287700294 -2.42488098821047 0.054146861427757 82.041560307434 0.3 96.9151450412526 0 
1990-01-02/17:00:00 0.0481682806179279 0.0482292489084916 -0.0362522776922657 -0.0352104401938307 -0.0383349477482522 -0.0352752323093712 -0.0331183385136104 6.87012585684218e-05 0 6.87012585684218e-05 4.5 57.8230594530968 99.7810118144007 99.9517707510915 99.849315389077 99.849315389077 24.5713658802851 70.7890983390985 88.4875494507216 0.000409544635832806 0.00478872560516054 0.0153409805420574 0.0682686470769282 -2.7903337067699 0.0287863106832366 43.6160800769263 0.3 96.9151452001451 0 
1990-01-02/18:00:00 0.0481682806179279 0.0482292489084916 -0.0333571006104211 -0.033350664929569 -0.0333699657641376 -0.034983749593629 -0.0331253901589469 6.65093065670339e-05 0 6.65093065670339e-05 4.5 57.8394744658222 99.8093664964098 99.9517707510915 99.8663281982825 99.8663281982825 24.5710968632124 70.7889599888017 88.4874336015747 0.000260214423846146 0.000256556878900133 0.0148515179950369 0.00372593820302961 -3.22447047710078 0.00157108745070178 2.38046051860225 0.3 96.9151453889002 0 
1990-01-02/19:00:00 0.0481682806179279 0.0482292489084916 -0.0333098115234758 -0.0333091035699348 -0.0333112267476388 -0.0347093534589815 -0.0331255673731595 6.59304542831016e-05 0 6.59304542831016e-05 4.5 57.8438102126953 99.8097019648519 99.9517707510915 99.8665294793477 99.8665294793477 24.5711019402745 70.7888885175243 88.4873718105136 1.32319424451614e-05 0 0.0147222603684726 0 -3.34123163187186 0 0 0.3 96.915145439666 0 
1990-01-02/20:00:00 0.0481682806179279 0.0482292489084916 -0.0332872513414525 -0.033286771066197 -0.0332882114286711 -0.0345187051720518 -0.0331255818321876 6.54541764492079e-05 0 6.54541764492079e-05 4.5 57.8473779205284 99.8098334093131 99.9517707510915 99.8666083460244 99.8666083460244 24.5711228154086 70.7888244703875 88.4873159518449 0 0 0.0146159076009305 0 -3.43798530549749 0 0 0.3 96.9151454817328 0 
1990-01-02/21:00:00 0.0481682806179279 0.0482292489084916 -0.0332720737343498 -0.0332717420070522 -0.0332727368689477 -0.0343860779435508 -0.0331261450050686 6.49809490638336e-05 0 6.49809490638336e-05 4.5 57.8509230185432 99.8099217872239 99.9517707510915 99.8666613727709 99.8666613727709 24.5711454434447 70.7887653712849 88.4872640286935 0 0 0.0145102359980768 0 -3.53473897912312 0 0 0.3 96.9151455237996 0 
1990-01-02/22:00:00 0.0481682806179279 0.0482292489084916 -0.03326154945204 -0.0332613189655089 -0.0332620102027657 -0.0342931912091053 -0.0331266498960924 6.4510755253264e-05 0 6.4510755253264e-05 4.5 57.8544456285389 99.8099830490993 99.9517707510915 99.8666981298962 99.8666981298962 24.5711692375455 70.7887097638075 88.4872148674526 0 0 0.0144052417920134 0 -3.63149265274875 0 0 0.3 96.9151455658664 0 
1990-01-02/23:00:00 0.0481682806179279 0.0482292489084916 -0.0332542100151697 -0.0332540488477604 -0.03325453219452 -0.0342275223964323 -0.0331271139088685 6.40435782210468e-05 0 6.40435782210468e-05 4.5 57.8579458717984 99.8100257573249 99.9517707510915 99.8667237548315 99.8667237548315 24.5711937980314 70.7886566550666 88.487167668248 0 0 0.0143009212320953 0 -3.72824632637437 0 0 0.3 96.9151456079332 0 
1990-01-03/00:00:00 0.0481682806179279 0.0482292489084916 -0.0332489345077759 -0.0332488204004313 -0.0332491626123928 -0.0341794756142945 -0.0331275486501557 6.35794012477231e-05 0 6.35794012477231e-05 4.5 57.8614238690903 99.8100564239598 99.9517707510915 99.8667421548125 99.8667421548125 24.5712188611264 70.7886053888049 88.4871219027122 0 0 0.0141972705848697 0 -3.825 0 0 0.3 96.91514565 0 
1990-01-03/01:00:00 0.0481682806179279 0.0482292489084916 -0.033245302830249 -0.0332452224568834 -0.033245463499449 -0.0341455515795383 -0.0331279624680472 6.31182076905565e-05 0 6.31182076905565e-05 4.5 57.86487974067 99.8100775502508 99.9517707510915 99.866754830587 99.866754830587 24.5712442305042 70.7885554757311 88.4870771769277 0 0 0.0140942861340162 0 -3.92175367362563 0 0 0.3 96.9151456920668 0 
1990-01-03/02:00:00 0.0481682806179279 0.0482292489084916 -0.0332426867254821 -0.0332426283741137 -0.0332428033719307 -0.034120285368083 -0.0331283612276778 6.26599809832647e-05 0 6.26599809832647e-05 4.5 57.8683136062806 99.8100927427122 99.9517707510915 99.8667639460639 99.8667639460639 24.5712697744772 70.7885065866532 88.4870332260693 0 0 0.0139919641802864 0 -4.01850734725125 0 0 0.3 96.9151457341336 0 
