Time PLC_Stem PLC_Leaf Psi_LApo Psi_SApo Psi_LSym Psi_SSym Psi_AllSoil transpiration_mm Emin_mm Emin_S_mm LAI DFMC LFMCSymp LFMCApo LFMC FMCCanopy SWS1 SWS2 SWS3 soilEvaporation_mm ETP VPD RG Tair Rn PAR WS RH PPT 
1990-01-02/02:00:00 0.048181398824637 0.0482525763693794 -0.0331649643524438 -0.0331649204848997 -0.0331650520451952 -0.034058604130772 -0.0330485978212186 6.46556674438898e-05 0 6.46556674438898e-05 4.5 57.8554102080603 99.810536794664 99.9517474236306 99.8670210462506 99.8670210462506 24.5768457571258 70.7905780830633 88.4887446321623 0 0 0.0143764929589265 0 -3.65809293862633 0 0 0.4 96.9151458379725 0 
1990-01-02/03:00:00 0.048181398824637 0.0482525763693794 -0.0331636042462965 -0.0331635749624541 -0.0331636627857195 -0.0340435987821266 -0.0330490581003627 6.44541937663902e-05 0 6.44541937663902e-05 4.5 57.8569133247866 99.8105447289824 99.9517474236306 99.8670258068417 99.8670258068417 24.5768485262989 70.7905403587647 88.4887124207417 0 0 0.0143316943353797 0 -3.69963940793949 0 0 0.4 96.9151458486255 0 
1990-01-02/04:00:00 0.048181398824637 0.0482525763693794 -0.0331627027732637 -0.0331626834692456 -0.0331627413626693 -0.0340325202958652 -0.0330495115148555 6.42532765278047e-05 0 6.42532765278047e-05 4.5 57.8584123330569 99.8105499914003 99.9517474236306 99.8670289642924 99.8670289642924 24.5768513929656 70.7905030966872 88.4886805373098 0 0 0.014287019438653 0 -3.74118587725266 0 0 0.4 96.9151458592784 0 
1990-01-02/05:00:00 0.048181398824637 0.0482525763693794 -0.0331621151198245 -0.033162102644024 -0.0331621400593851 -0.0340241321539519 -0.0330499597869347 6.40529144012723e-05 0 6.40529144012723e-05 4.5 57.8599072424163 99.8105534255549 99.9517474236306 99.8670310247852 99.8670310247852 24.5768543178283 70.7904661983997 88.4886489028553 0 0 0.0142424679737126 0 -3.78273234656582 0 0 0.4 96.9151458699314 0 
1990-01-02/06:00:00 0.048181398824637 0.0482525763693794 -0.0331617421528602 -0.0331617343478229 -0.0331617577554021 -0.0340175878794359 -0.0330504040968154 6.38531060625496e-05 0 6.38531060625496e-05 4.5 57.8613980623922 99.810555608964 99.9517474236306 99.8670323348306 99.8670323348306 24.5768572740486 70.7904295963287 88.4886174632437 0 0 0.0141980396461066 0 -3.82427881587899 0 0 0.4 96.9151458805843 0 
1990-01-02/07:00:00 0.048181398824637 0.0482525763693794 -0.0331615160102099 -0.0331615113990394 -0.0331615252281006 -0.0340123080020863 -0.0330508452536638 6.36538501900088e-05 0 6.36538501900088e-05 4.5 57.862884802495 99.8105569369705 99.9517474236306 99.8670331316346 99.8670331316346 24.5768602433159 70.7903932440257 88.4885861813705 0 0 0.0141537341619648 0 -3.86582528519215 0 0 0.4 96.9151458912372 0 
1990-01-02/08:00:00 0.048181398824637 0.0482525763693794 -0.0331645427171003 -0.033164626245751 -0.0331643757404128 -0.0340087729819181 -0.0330550012797716 0.000483995994721993 5.60389378084628e-05 6.35370009012011e-05 4.5 57.8637566886226 99.8105406571659 99.9517474236306 99.8670233637518 99.8670233637518 24.5766509457692 70.7903566275542 88.4885546412168 0.00021333659552444 0.00413521597190341 0.0141277521708384 0.0444950824048159 -3.89024294668246 0.0260664753799721 28.4274137586324 0.4 96.9151458974982 0 
1990-01-02/09:00:00 0.048181398824637 0.0482525763693794 -0.0342257966658714 -0.0338529747749228 -0.0349710806556151 -0.0342202201875307 -0.0330595662582477 0.00258392982005396 0.000151556871926864 6.54983163090098e-05 4.5 57.8491239997377 99.800222383381 99.9517474236306 99.8608323994808 99.8608323994808 24.5762026204054 70.7901649326021 88.488397359316 0.000390993366726458 0.0255982571502155 0.0145638599130571 0.270615875141926 -3.48556155684541 0.158534419211529 172.89347578512 0.4 96.9151457937337 0 
1990-01-02/10:00:00 0.0482959579017715 0.0484294607431635 -0.0397227237753318 -0.0374212342449627 -0.0443238188478312 -0.0354630602975597 -0.033077171866826 0.00434172394898742 0.000207198377270368 6.99514142475997e-05 4.5 57.8159161514726 99.7468128443698 99.9515705392568 99.8287159223246 99.8287159223246 24.5754193027793 70.789163615034 88.487583582583 0.000401983409743568 0.0436222203312079 0.0155540272671426 0.444124461952308 -2.60518781227109 0.260180647555564 283.746184025086 0.4 96.9151455679969 0 
1990-01-02/11:00:00 0.0484833934460597 0.0487158073937731 -0.0446378136386847 -0.0406506855585548 -0.0526087654555027 -0.0373819314241747 -0.0331085993797489 0.00597435885214836 0.000261015275220158 7.57976654614344e-05 4.5 57.7723511531792 99.6995078654995 99.9512841926062 99.8002183963422 99.8002183963422 24.5742932878239 70.7873484496816 88.4861087339614 0.000419302583841379 0.0568275197790287 0.0168539688304209 0.55319651938133 -1.52184738633841 0.324078137928765 353.431109604739 0.4 96.9151452902173 0 
